Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Industry PE,Price to Earning,Promoter holding,Pledged percentage,Change in promoter holding,Debt,Debt to equity,Return on capital employed,Return on equity,Net profit,Net Profit preceding year,Return over 1week,Return over 1month,Return over 1year,EPS,EPS latest quarter,EPS preceding quarter,EPS last year,EPS preceding year,EPS preceding year quarter,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,Sales,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Working capital,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Free cash flow last year,Free cash flow preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Material cost last year,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,Average return on equity 5Years,Profit growth,Sales growth,Average return on equity 3Years,Net Profit latest quarter,Net Profit preceding quarter
Kalyani Invest.,533302,KICL,Finance & Investments,5927.15,2590.16,23.67,40.40,74.97,0.00,0.00,0.00,0.00,1.07,0.83,64.11,42.58,-0.62,-7.28,79.72,146.86,82.26,6.80,131.01,97.54,68.43,94.27,11.62,24.78,16.26,3.48,80.45,94.27,11.62,24.78,16.26,0.00,0.00,0.00,0.00,214.39,55.90,-1.09,-16.52,-7.49,0.30,-7.98,-18.88,28.80,0.00,78.32,14.36,25.93,12.40,0.76,44.75,28.49,0.73,35.91,2.97
Karnika Industri,,KARNIKA,Textiles - Products,376.90,467.34,29.32,29.32,73.39,0.00,0.00,46.47,0.73,21.08,28.43,15.94,8.18,-1.70,12.46,159.13,12.86,8.35,4.51,8.15,8.99,4.96,,,,,,160.07,130.94,,,,15.71,,,,98.45,18.79,,,-10.24,-11.66,-37.62,,,51.21,38.78,,,,,23.47,2.11,35.12,10.35,5.59
Kaycee Inds.,504084,,Electric Equipment,1534.45,486.96,67.07,86.04,71.96,0.00,-1.55,3.89,0.15,24.28,20.55,5.66,3.49,-12.30,-29.83,317.65,18.59,4.85,5.00,14.97,11.63,3.33,83.08,27.11,31.75,26.41,3.17,51.67,83.08,27.11,31.75,26.41,0.00,1.07,3.27,3.01,22.44,12.08,10.37,10.76,4.26,-3.34,1.30,2.79,3.91,62.56,28.85,14.18,10.97,7.01,14.42,57.22,16.09,17.64,1.54,1.50
Kesar India,543542,,Construction,800.00,1977.02,35.07,100.92,74.99,0.00,0.00,20.92,0.46,39.29,41.60,19.59,0.78,2.82,-13.51,422.88,7.93,6.48,1.44,4.07,0.32,2.63,101.24,52.13,,,0.34,81.87,902.33,298.66,,,2.64,2.11,,,65.20,1.66,1.69,,9.15,-9.83,1.53,1.49,,53.30,256.66,207.96,,,,131.01,129.39,39.94,16.02,3.57
Kesar Petroprod.,524174,,Chemicals,29.42,284.41,35.13,29.75,63.85,0.00,0.00,65.90,0.50,3.14,3.48,9.56,0.47,0.79,-2.68,156.50,0.99,0.30,0.22,0.52,0.05,0.04,69.03,67.50,-19.89,6.77,0.44,179.89,69.03,67.50,-19.89,9.86,16.29,7.55,4.65,6.07,65.01,33.69,47.94,52.30,-37.72,-3.35,-55.69,-23.24,-17.59,83.45,6.20,-0.70,-2.08,-0.29,0.98,1851.02,55.95,2.07,2.92,2.12
Khazanchi Jewell,543953,,Trading,636.05,1574.03,36.80,49.73,74.51,0.00,0.00,49.14,0.24,22.83,24.39,31.65,7.56,0.90,-2.60,127.97,12.79,8.10,4.69,11.04,,6.35,,,,,,1171.24,117.56,,,,74.80,,,,236.58,91.36,,,-86.14,5.61,-85.52,-74.85,,94.56,29.06,,,,,47.55,79.31,21.98,20.05,11.60
Kilitch Drugs,524500,KILITCH,Pharmaceuticals - Indian - Formulations,343.50,552.43,39.32,39.32,69.23,0.00,0.00,32.41,0.17,12.63,7.71,14.14,8.28,5.87,1.39,-10.23,10.23,5.36,0.83,9.08,6.71,2.95,61.68,33.84,17.88,,1.12,157.53,63.70,35.09,19.17,,14.81,9.46,0.69,,109.30,-14.56,25.82,11.55,-6.60,-1.22,-10.24,-6.92,-27.72,51.15,31.17,13.38,28.11,,4.14,13.22,2.82,5.80,8.61,0.11
Kings Infra,530215,,Aquaculture,164.60,403.36,41.03,41.03,68.78,0.00,0.00,50.79,0.79,17.65,16.55,9.83,5.79,3.04,13.95,-12.38,4.04,1.42,1.20,3.17,2.46,0.94,73.40,44.58,53.58,16.12,0.90,106.77,75.80,45.78,54.49,42.82,23.12,15.21,8.32,17.27,70.70,26.14,36.84,27.61,-5.08,-2.07,-1.20,15.51,17.58,78.00,33.60,21.96,38.16,40.44,10.93,24.43,37.34,14.49,3.47,2.94
Kiran Vyapar,537750,,Finance & Investments,279.25,761.91,23.67,9.26,74.96,0.00,0.00,158.98,0.08,4.14,3.19,82.32,38.54,4.55,2.55,87.79,30.54,12.36,11.22,19.11,14.23,3.09,-17.42,17.91,0.35,4.66,0.52,124.77,-17.42,17.91,1.09,5.20,31.38,33.07,55.24,0.00,57.33,35.53,36.66,209.24,58.21,-34.66,90.44,48.29,87.32,14.76,-13.10,-1.69,-3.62,7.43,4.53,57.46,55.67,4.80,33.29,30.48
Kirl. Brothers,500241,KIRLOSBROS,Pumps,2072.55,16457.90,49.46,41.80,65.95,0.00,0.00,167.30,0.09,27.30,21.68,397.50,235.77,2.82,-9.92,126.40,49.73,12.05,8.20,43.84,29.59,6.35,28.53,155.16,91.76,17.16,0.27,4255.30,28.53,155.16,91.76,17.17,331.00,379.71,358.70,296.63,1220.50,519.50,614.83,525.10,246.83,209.35,506.41,919.54,973.82,49.56,13.78,3.62,6.79,4.11,15.11,30.15,9.26,16.70,96.70,65.60
KJMC Financial,530235,,Finance & Investments,110.70,52.98,23.67,34.18,74.40,0.00,0.00,8.13,0.05,1.83,0.80,1.55,-0.92,-5.87,-14.25,104.32,3.24,1.55,1.17,1.80,-1.92,1.23,36.84,24.87,9.01,22.85,1.37,5.86,36.84,24.87,9.01,26.81,5.03,13.19,10.45,4.01,2.29,2.08,9.31,2.35,3.35,-3.78,-2.44,-3.08,-4.66,0.00,37.53,11.89,6.60,21.88,-1.08,1011.76,57.10,-0.21,0.74,0.56
Kody Technolab,,KODYTECH,Computers - Software - Medium / Small,1564.90,1994.87,44.25,139.60,73.01,0.00,0.00,11.04,0.15,28.42,23.41,14.29,2.92,-8.19,-3.40,393.69,11.25,8.03,3.22,3.85,4.23,0.63,,,,,,56.67,259.48,,,,1.50,,,,38.79,-0.32,,,-12.67,-8.08,-20.79,,,-1.16,108.44,,,,,193.43,273.81,,10.20,4.09
Kontor Space,,KONTOR,Miscellaneous,120.05,74.19,33.51,30.41,71.50,0.00,0.00,4.43,0.19,18.39,14.62,2.44,1.88,-3.19,-7.40,55.10,3.95,2.35,1.60,3.16,4.70,2.13,47.93,,,,,14.30,79.91,,,,2.04,,,,3.38,-1.03,,,-4.19,-2.70,-7.02,,,0.00,49.42,,,,,33.33,55.60,24.89,1.45,0.99
Kotyark Indust.,,KOTYARK,Miscellaneous,906.85,932.16,33.51,31.79,67.65,0.00,0.00,97.35,0.63,23.93,20.58,29.32,14.36,-5.15,-11.31,-15.35,28.52,17.39,11.13,21.64,16.44,12.37,26.98,29.71,,,0.29,340.52,179.59,108.27,,,13.70,2.78,,,173.13,9.48,-0.64,,-65.98,-22.11,-91.97,-102.60,,75.65,60.77,48.46,,,26.02,24.03,65.79,25.83,17.88,11.44
Krishna Defence,,KRISHNADEF,Diversified - Medium / Small,764.40,1047.61,58.99,58.99,62.27,0.00,0.00,13.17,0.11,16.94,13.24,17.76,5.30,0.33,13.91,100.08,12.96,7.73,5.22,7.14,4.63,2.14,17.12,7.72,,,1.62,165.24,73.71,36.47,,,25.57,27.35,,,99.51,28.68,30.76,,-5.55,-10.06,-13.59,-9.99,,53.11,44.84,12.82,,,12.55,182.35,108.29,13.75,10.60,7.16
Kundan Edifice,,KEL,Electric Equipment,147.10,151.10,67.07,45.93,72.28,0.00,0.00,26.51,0.73,18.17,14.78,3.29,5.09,1.45,2.33,-33.83,3.20,3.50,-0.30,2.92,6.79,3.22,-53.65,-6.10,,,0.49,90.72,50.50,93.71,,,7.29,2.76,,,38.58,5.92,2.31,,-18.82,-4.09,-24.26,-28.04,-30.85,65.24,76.93,62.22,,,36.76,-41.06,39.53,34.92,3.60,-0.31
Ladderup Finance,530577,,Finance & Investments,74.00,95.09,23.67,,68.91,0.00,12.06,24.85,0.31,3.31,-5.35,-0.29,-1.31,3.79,17.11,156.14,-2.26,1.01,0.28,-3.91,-1.00,-0.30,,,,,,15.41,,,,,0.90,32.71,9.28,0.88,5.94,9.69,19.77,21.15,-9.13,3.06,0.03,-1.48,-26.68,0.00,-7.95,-5.25,-5.23,2.09,-0.63,-166.67,54.56,-1.36,2.06,1.20
Lakhotia Poly.,535387,,Textiles - Spinning - Synthetic / Blended,38.50,40.32,19.94,38.40,72.29,0.00,0.00,7.40,0.83,5.67,0.80,1.05,-1.92,-3.97,22.81,3.69,1.00,1.09,-0.17,0.07,-1.83,-0.37,28.98,28.47,8.32,1.58,1.35,45.32,28.98,28.47,8.32,1.55,5.60,5.92,4.67,3.65,12.49,10.86,10.33,9.34,0.04,-0.69,-2.30,-1.24,-10.55,90.45,20.28,7.10,7.28,11.22,-7.26,143.21,139.41,-9.54,1.14,-0.18
Lakshmi Mills,502958,,Textiles - Composite,7119.75,495.53,23.06,,65.10,0.00,0.05,137.26,0.14,-1.23,-2.17,-4.67,-5.01,0.86,4.70,85.74,-67.14,16.39,-18.55,-198.25,-72.02,-48.88,,,,,,274.57,,,,,83.07,85.44,63.79,66.91,18.98,41.06,33.05,19.78,-24.23,-19.61,-30.09,-19.99,-25.40,60.89,11.21,0.42,1.54,1.50,-0.08,64.87,33.76,0.10,1.14,-1.29
Latent View,543398,LATENTVIEW,Computers - Software - Medium / Small,501.40,10352.48,44.25,60.69,65.39,0.00,0.00,28.98,0.02,15.19,12.24,171.40,155.43,3.75,4.81,11.30,8.28,1.94,1.89,7.70,7.59,1.66,-58.88,-35.69,,-9.78,2.65,725.16,20.75,22.90,,24.84,51.86,35.54,,13.31,781.48,290.54,133.72,,111.05,94.22,286.16,433.92,,0.00,27.95,17.35,,23.41,15.10,11.08,22.96,13.46,40.71,38.93
Lex Nimble Solu.,541196,,Computers - Software - Medium / Small,84.00,35.20,44.25,34.17,73.98,0.00,0.00,0.00,0.00,7.57,5.76,1.05,0.81,0.00,0.00,20.22,2.51,1.41,1.10,2.10,1.93,1.00,18.26,25.16,5.97,,1.36,4.69,18.26,25.16,43.10,,0.00,0.00,0.00,,15.61,1.48,0.89,4.63,0.18,-0.28,-0.19,0.21,1.63,0.00,-1.27,12.05,12.97,,5.46,13.19,-0.21,5.31,0.59,0.46
Likhitha Infra.,543240,LIKHITHA,Construction,358.60,1414.68,25.63,20.44,70.03,0.00,0.00,1.65,0.00,32.54,23.56,69.22,60.04,0.96,-7.51,27.66,17.55,4.41,4.33,16.74,15.22,3.91,31.60,-3.41,-11.19,-1.19,0.69,473.31,31.55,29.80,35.97,33.14,0.16,9.85,4.50,0.24,303.29,83.00,41.06,18.70,-6.77,35.94,23.69,38.71,27.41,11.14,30.34,24.79,21.65,23.69,26.09,9.89,21.69,25.44,17.38,17.07
LKP Securities,540192,,Finance & Investments,28.91,228.92,17.16,14.25,71.36,0.00,-0.24,68.92,0.80,20.12,13.44,16.07,3.16,12.01,20.46,66.05,2.03,0.57,0.52,1.20,0.40,0.08,30.59,36.55,50.12,,0.37,120.82,33.61,38.43,51.80,14.82,18.32,28.06,65.81,65.30,130.49,39.29,46.34,58.54,39.40,-75.85,-12.34,34.70,84.71,0.00,4.74,0.30,5.62,9.39,11.93,540.24,57.93,14.11,4.55,4.10
Lloyds Luxuries,,LLOYDS,Miscellaneous,101.20,239.49,33.51,,69.76,0.00,-3.08,0.00,0.00,-11.10,-11.97,-4.82,-4.30,8.82,-9.24,2.12,-2.09,-0.75,-1.35,-3.54,-1.91,-2.20,,,-2.96,,,43.85,,,-5.92,,56.08,,29.11,,14.47,0.33,,0.18,-9.98,-4.74,-13.14,-42.38,,-5.95,30.53,,18.16,,,37.21,19.94,-8.97,-1.77,-3.05
Lotus Chocolate,523475,,Food - Processing - Indian,1385.90,1779.50,36.45,165.69,72.07,0.00,0.00,5.29,0.14,,,10.74,,-2.03,1.43,351.43,8.36,7.33,0.92,1.35,,0.16,,,,,,307.11,,,,,,,,,31.16,,,,-38.44,,,,,85.22,,,,,,,,,9.41,1.18
LTIMindtree,540005,LTIM,Computers - Software - Large,5733.40,169872.35,32.76,36.50,68.60,0.00,0.00,2325.60,0.11,31.17,25.03,4656.70,4410.30,0.98,-9.67,-3.60,157.15,42.24,38.28,154.72,149.02,39.26,11.77,12.11,15.61,-6.68,1.47,36485.00,33.26,24.77,25.09,16.49,798.30,0.00,0.00,110.01,14172.70,2031.60,1783.60,1144.40,4836.50,2160.00,9194.30,12728.30,14715.90,0.00,42.13,30.33,27.45,21.85,29.25,5.11,4.49,29.05,1251.60,1135.10
Lux Industries,539542,LUXIND,Textiles - Composite,2030.30,6105.45,23.06,38.35,74.19,0.00,0.00,243.98,0.15,10.98,8.22,159.61,137.47,4.67,3.05,56.36,53.51,17.02,11.30,43.07,47.23,12.33,-27.20,1.07,,,8.23,2371.69,-22.84,4.66,,,136.84,180.89,,,1518.69,856.86,459.03,,208.41,112.11,24.92,485.93,643.73,35.14,5.98,14.00,,,19.00,63.41,1.54,14.75,51.60,33.43
Macfos,543787,,Trading,1330.00,1252.44,56.35,72.40,69.11,0.00,0.00,37.70,0.60,55.25,49.59,17.30,7.41,-1.05,3.72,208.62,18.86,6.67,4.26,12.31,8.39,2.32,-80.11,,,,,218.84,90.25,,,,3.50,,,,80.65,5.62,,,3.10,0.84,2.82,2.90,,75.06,66.48,,,,,46.83,56.08,59.25,6.28,4.01
Macpower CNC,,MACPOWER,Engineering,1503.45,1504.08,45.23,53.05,73.17,0.00,0.00,3.00,0.02,29.74,22.16,28.35,12.89,1.91,2.88,103.11,28.34,8.30,4.01,24.24,12.88,6.16,59.50,13.78,9.28,15.61,3.85,258.80,59.50,13.79,63.35,56.00,0.22,0.25,4.01,9.24,81.18,12.97,50.44,3.12,6.24,-2.15,-6.84,-9.77,-20.66,67.60,28.78,11.44,19.89,19.11,14.06,92.99,22.72,17.83,8.30,4.01
Mahalaxmi Rubtec,514450,MHLXMIRU,Textiles - Processing,238.60,253.40,29.50,20.18,64.80,0.00,0.00,11.75,0.19,25.29,23.33,12.56,10.89,-10.75,54.86,10.00,11.85,3.29,3.08,10.41,10.27,1.74,31.40,25.53,17.33,15.12,1.01,85.06,21.83,19.96,18.31,17.28,38.33,34.64,36.22,49.96,43.57,69.12,51.13,36.82,13.84,-5.62,18.43,39.59,40.30,50.05,-17.44,-16.06,-12.90,-6.41,10.22,47.25,-37.07,14.08,3.49,3.26
Mallcom (India),539400,MALLCOM,Textiles - Products,1516.60,946.36,29.32,25.39,73.67,0.00,-0.02,99.78,0.39,16.78,15.95,37.27,36.94,-10.58,-3.32,38.77,59.73,16.19,13.67,58.21,59.20,14.66,7.81,18.58,20.55,21.78,1.37,449.38,7.81,18.58,20.55,21.78,56.85,48.84,52.59,65.70,199.87,115.96,87.73,68.59,-18.38,7.67,-32.39,-5.61,8.15,51.16,9.91,6.94,7.55,6.61,18.84,-1.82,8.20,18.36,10.10,8.53
Mangalam Industr,537800,,Finance & Investments,3.57,387.54,23.67,516.72,69.11,0.00,0.00,0.02,0.00,0.91,0.67,0.75,-5.01,-3.51,1.13,-13.35,0.01,0.00,0.00,0.00,-0.05,-0.01,-34.30,44.65,-7.18,14.29,11.57,3.37,-34.30,44.65,-7.18,14.28,0.00,0.00,0.00,0.01,28.70,5.29,0.67,9.67,-11.45,3.83,-15.42,-8.09,-4.89,0.00,8.38,3.01,-14.83,32.21,-3.11,116.20,24.81,-5.97,0.41,0.29
Mankind Pharma,543904,MANKIND,Pharmaceuticals - Indian - Bulk Drugs & Formln,2937.55,121193.59,39.47,60.47,72.71,0.00,-2.16,207.46,0.02,24.57,19.71,2089.16,1248.26,2.29,12.31,42.76,52.15,15.84,12.82,45.52,31.16,11.80,17.61,27.24,,,2.22,9288.12,17.61,27.24,,,100.85,190.00,,,5158.16,1211.66,532.98,,1732.55,1219.27,1592.01,3178.28,3858.28,31.39,18.82,19.33,,,21.53,47.77,13.81,19.82,634.43,513.49
Manoj Vaibhav,543995,MVGJL,Diamond Cutting / Jewellery,293.30,1432.70,41.79,16.29,74.27,0.00,0.00,432.27,0.65,16.41,16.82,87.96,71.60,24.78,25.06,-10.95,18.01,5.46,4.45,16.57,18.32,4.54,-17.62,,,,,2202.84,40.86,,,,489.01,,,,1013.68,616.40,,,57.98,67.87,135.02,148.84,,86.99,14.51,,,,,8.27,3.27,18.85,26.67,21.76
Mansi Fin.(Chen),511758,,Finance & Investments,70.15,24.76,23.67,10.91,69.24,0.06,0.00,30.32,0.84,8.89,6.26,2.27,2.00,-7.76,12.49,61.82,6.42,2.35,1.64,5.86,5.66,1.78,6.27,-5.59,1.67,3.22,-1.95,7.67,6.27,-5.59,1.67,3.22,33.20,38.74,32.14,12.13,2.26,1.75,0.56,46.12,0.91,-2.77,2.81,8.36,2.96,0.00,2.39,-7.02,-2.32,5.49,5.42,9.13,11.00,4.90,0.83,0.58
Marine Electric.,,MARINE,Electric Equipment,265.55,3663.11,67.07,99.19,71.17,0.00,0.00,87.19,0.23,15.39,11.22,37.31,16.81,-1.45,0.34,166.75,2.80,0.92,0.54,1.95,1.35,0.37,22.92,21.01,7.25,2.19,4.33,706.29,26.18,22.92,14.12,6.73,58.31,56.62,40.39,23.09,359.12,170.33,152.89,61.95,-31.52,-24.42,-19.70,0.92,-36.66,75.59,35.28,9.24,12.57,11.35,8.28,91.94,38.95,9.47,12.76,7.05
Market Creators,526891,,Finance & Investments,16.41,17.23,17.16,55.58,71.32,0.00,0.00,5.01,0.46,6.89,0.09,0.27,0.09,-9.49,9.47,77.21,0.26,0.21,0.10,-0.03,0.09,0.11,27.38,0.00,-39.47,-24.58,,7.99,27.38,0.00,-32.70,-18.77,2.56,0.00,0.00,0.00,14.10,10.19,8.72,3.17,-3.40,-3.45,-6.49,-0.72,-4.75,4.53,7.73,8.34,2.35,3.12,0.93,-91.67,35.42,1.99,0.22,0.10
Marvel Decor,,MDL,Textiles - Products,122.75,217.76,29.32,52.98,70.03,0.00,-2.88,9.26,0.15,8.16,5.88,3.99,2.26,-1.01,5.09,45.18,2.29,1.27,1.02,1.70,1.19,0.87,298.41,-3.75,,,-14.13,58.13,298.41,-3.75,,,11.13,5.02,,,53.09,37.49,32.79,,-1.07,-2.38,-3.47,-2.63,,37.39,24.45,15.53,,,2.91,36.09,10.87,4.48,2.25,1.74
MASK INVESTMENTS,,MASKINVEST,Finance & Investments,207.39,63.29,23.67,1054.83,72.25,0.00,0.00,0.76,0.00,0.04,0.02,0.06,0.06,-9.61,-17.91,186.06,0.20,0.10,-0.03,0.07,0.20,0.00,25.99,14.87,-28.03,,70.94,1.06,25.99,14.87,-28.03,,0.58,0.78,0.77,1.95,1.33,1.04,1.24,0.98,-0.62,-0.05,-1.06,-0.90,-1.34,0.00,78.55,34.20,8.06,30.93,0.03,100.00,241.94,0.03,0.03,-0.01
Meera Industries,540519,,Textile Machinery,76.67,81.87,44.86,25.19,64.19,0.00,0.00,5.85,0.21,6.37,5.87,3.25,-1.84,5.24,-1.13,60.23,3.04,1.21,0.84,1.38,-1.72,0.29,-11.35,-21.71,-1.76,8.79,-1.28,38.02,-11.35,-19.69,4.78,24.83,0.00,0.00,0.01,0.15,9.94,10.52,7.45,1.72,-2.10,-0.32,-3.88,-11.76,-13.09,58.23,11.25,-2.64,12.73,14.98,4.02,615.87,71.80,2.81,1.29,0.90
Minda Corp,538962,MINDACORP,Auto Ancillaries,506.90,12118.94,31.11,46.29,64.84,0.00,0.00,533.70,0.25,15.20,12.79,261.78,284.50,2.08,1.23,33.31,10.95,3.11,2.69,9.50,11.90,2.46,34.54,6.56,11.79,11.26,6.05,4863.19,34.54,7.65,13.93,12.74,532.40,685.30,549.20,571.53,1137.90,862.10,765.50,354.70,35.80,138.60,233.50,492.70,459.90,62.86,25.24,8.51,12.34,11.33,8.70,-5.90,10.20,15.21,74.34,64.20
Mindteck (India),517344,MINDTECK,Computers - Software - Medium / Small,299.15,952.73,44.25,32.84,64.49,0.00,-0.12,0.32,0.00,16.37,13.24,27.62,20.77,-1.64,0.05,56.95,8.70,2.38,2.01,8.62,6.57,2.34,36.30,59.91,16.61,3.74,0.55,410.03,35.87,59.61,16.61,3.90,26.01,0.00,1.01,0.00,205.17,118.69,75.29,94.73,21.11,11.36,52.99,98.82,86.25,0.00,10.37,5.19,1.74,1.60,8.37,18.12,12.87,11.97,7.57,6.38
Modern Insulator,515008,,Electric Equipment,139.90,659.54,67.07,16.02,60.20,0.00,0.00,5.16,0.01,9.06,8.87,47.28,28.29,-2.00,-11.57,39.48,10.03,2.78,1.65,7.74,6.00,1.31,6.31,7.27,17.23,,2.20,466.09,6.31,7.27,17.23,4.49,23.67,93.16,77.53,48.95,252.88,164.42,176.43,146.70,10.22,21.58,42.35,119.41,177.79,32.05,4.34,0.15,1.99,-0.35,8.04,25.91,9.49,7.31,13.10,7.80
Modern Shares,509760,,Finance & Investments,63.64,18.65,17.16,41.44,72.83,0.00,0.00,0.00,0.00,4.33,3.24,0.45,0.18,13.50,18.84,111.78,1.54,0.65,0.27,1.36,0.61,0.55,137.13,22.47,16.18,11.90,1.84,3.81,137.13,22.47,16.18,11.90,0.06,0.00,0.00,0.00,12.41,11.51,11.54,10.84,-2.33,1.85,-2.95,-5.47,-10.10,0.00,9.39,6.11,2.36,14.06,0.84,80.00,28.28,2.40,0.19,0.08
Modi's Navnirman,543539,,Construction,259.15,507.71,35.07,60.44,63.79,0.00,0.00,6.08,0.06,13.89,11.36,8.40,5.76,1.71,-2.21,14.67,4.34,2.32,2.02,3.50,3.40,1.67,,,,,,69.15,160.14,,,,0.54,,,,96.12,-1.72,,,-25.47,-7.26,-48.80,,,81.46,63.38,,,,,47.37,46.94,16.55,4.54,3.86
Motisons Jewel,544053,MOTISONS,Diamond Cutting / Jewellery,30.07,2960.27,41.79,78.11,66.00,0.00,0.00,89.88,0.26,16.65,13.94,38.30,22.20,13.43,7.86,140.18,0.39,0.11,0.06,0.33,0.34,0.08,30.34,43.74,,,1.39,437.94,49.70,56.19,,,150.87,143.49,,,432.96,240.15,218.06,,-54.25,5.66,-43.27,-15.69,,80.25,25.07,13.33,,,12.53,61.35,14.93,14.85,10.40,6.33
N G Industries,530897,,Healthcare,179.20,60.03,58.09,10.28,74.50,0.00,0.00,1.25,0.03,6.50,5.63,5.84,8.32,0.11,8.25,-4.93,17.43,8.86,1.49,15.01,24.83,1.91,41.42,4.83,2.24,1.56,2.13,16.10,41.42,4.83,2.24,1.56,0.27,1.25,1.91,1.85,1.17,0.86,1.72,2.53,-2.04,3.02,-1.54,1.42,6.23,25.83,12.42,-0.91,-0.33,2.04,7.11,17.03,-6.01,6.20,2.97,0.50
Nagpur Power,532362,,Mining / Minerals / Metals,155.00,203.05,11.85,88.67,61.23,0.00,0.00,23.70,0.27,-0.03,-2.08,2.29,-3.73,-5.72,8.85,32.54,1.75,2.15,0.47,-0.43,-2.78,-0.35,,,,5.13,,54.72,,,,5.13,12.46,6.45,5.91,5.86,47.89,19.78,14.14,11.06,-6.10,-1.18,-8.59,-22.80,-27.18,35.52,15.86,2.60,12.42,13.62,-2.19,175.08,31.82,-1.77,2.82,0.61
Nahar Capital,532952,NAHARCAP,Finance & Investments,321.15,537.80,23.67,12.72,71.65,0.00,0.00,0.74,0.00,5.34,4.42,42.29,27.81,1.39,-9.36,3.10,25.25,8.55,6.57,22.93,16.61,7.31,8.98,26.62,6.14,5.74,0.48,31.32,8.98,26.62,6.14,5.74,6.09,4.96,14.74,0.00,-1.37,31.99,25.75,28.67,-22.09,-29.16,-127.64,-55.06,-37.41,0.00,6.14,17.40,7.68,6.63,3.69,35.11,6.17,3.94,14.32,11.00
Nahar Poly,523391,NAHARPOLY,Packaging,271.65,667.93,28.39,31.15,71.88,0.00,0.00,110.87,0.13,-0.34,0.38,21.44,43.20,0.00,-3.45,21.08,8.72,7.08,3.38,2.31,17.57,4.95,-63.84,-24.63,-23.22,,-1.26,643.08,-63.84,-24.63,-23.22,,58.40,0.01,29.58,,95.28,14.77,35.08,31.11,16.50,102.53,-5.68,-44.73,-5.63,76.42,25.50,17.69,13.01,,7.52,39.22,6.88,6.10,17.40,8.32
Naperol Invest.,500298,,Finance & Investments,1211.45,696.22,23.67,710.43,70.76,0.00,0.00,0.00,0.00,-0.08,-0.05,0.98,375.25,-8.91,-7.45,10.18,1.72,2.33,-0.58,-0.65,658.33,-0.04,,,,,,3.37,,,,,124.69,79.69,11.04,4.04,6.05,129.36,276.46,41.31,1.09,1.45,-5.80,-49.20,103.94,0.00,-79.60,-65.65,-49.62,-38.15,1.71,248.48,198.23,-0.04,1.33,-0.33
Nath Industries,502587,,Paper,70.00,133.00,10.80,114.66,73.71,0.00,0.00,101.42,0.41,2.77,0.20,1.16,2.67,1.26,0.63,-10.98,0.61,0.32,0.19,0.26,1.41,0.07,-67.65,-40.42,-21.25,-19.78,-3.42,339.56,-67.65,-33.54,-14.85,-15.27,50.09,21.60,6.60,7.60,98.29,63.25,21.80,18.73,-1.07,-47.10,-60.81,-38.13,-39.06,63.10,3.14,18.55,16.73,14.30,4.75,-32.95,0.38,2.72,0.60,0.37
National Standar,504882,,Construction,4324.70,8649.40,35.07,521.68,73.94,0.00,0.00,0.00,0.00,7.92,5.85,16.58,8.25,-1.71,-3.68,-7.47,8.29,2.40,1.32,7.37,4.12,1.40,22.70,25.37,-13.72,-7.24,20.56,24.24,22.70,25.37,-13.72,-7.24,0.00,0.00,78.88,94.70,260.78,201.80,185.70,256.52,-0.98,12.83,14.74,18.25,5.73,0.00,8.22,9.11,-21.01,-15.17,5.55,43.67,49.63,6.65,4.80,2.64
NBCC,534309,NBCC,Miscellaneous,92.52,24980.40,33.68,45.04,61.75,0.00,0.00,0.41,0.00,31.99,24.85,487.39,278.01,-0.93,-10.03,60.26,1.75,0.45,0.39,1.49,0.99,0.29,32.22,6.68,5.07,7.23,6.74,11050.90,32.22,6.68,5.07,7.23,0.51,0.00,5.93,0.00,1704.44,246.61,1021.09,1640.92,28.34,-384.75,-282.69,301.46,1835.95,0.95,14.48,0.97,4.98,9.88,17.08,34.20,23.81,20.90,125.14,107.19
NDR Auto Compon.,543214,NDRAUTO,Auto Ancillaries,788.35,1875.11,31.11,42.99,73.06,0.00,0.00,35.71,0.13,19.39,16.31,43.62,28.11,10.14,10.79,95.86,18.33,5.02,4.84,16.26,11.81,4.34,65.20,,,,,661.86,65.20,,,,4.44,,,,68.85,93.67,,,-6.59,2.03,-32.92,-46.07,,77.40,74.03,,,,,27.54,26.98,13.22,11.94,11.53
NESCO,505355,NESCO,Construction,995.60,7014.99,35.07,18.68,68.54,0.00,0.00,1.01,0.00,22.39,17.03,375.54,290.64,4.44,-5.25,12.24,53.30,15.17,9.90,51.49,41.25,12.46,28.12,15.02,11.50,17.75,1.24,700.18,28.12,15.02,11.49,17.74,0.00,0.00,0.00,0.00,175.83,-38.18,-48.37,-14.39,271.84,284.30,571.13,794.52,822.00,8.76,32.57,13.48,12.05,15.46,15.31,17.76,14.50,15.45,106.88,69.79
