Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Industry PE,Price to Earning,Promoter holding,Pledged percentage,Change in promoter holding,Debt,Debt to equity,Return on capital employed,Return on equity,Net profit,Net Profit preceding year,Return over 1week,Return over 1month,Return over 1year,EPS,EPS latest quarter,EPS preceding quarter,EPS last year,EPS preceding year,EPS preceding year quarter,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,Sales,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Working capital,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Free cash flow last year,Free cash flow preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Material cost last year,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,Average return on equity 5Years,Profit growth,Sales growth,Average return on equity 3Years,Net Profit latest quarter,Net Profit preceding quarter
Hitachi Energy,543187,POWERINDIA,Electric Equipment,15131.40,64129.41,67.07,321.71,75.00,0.00,0.00,347.06,0.25,17.85,12.74,199.34,93.90,3.02,27.16,170.34,47.03,12.34,2.46,38.64,22.16,5.84,10.98,,,,,5850.46,10.98,,,,39.07,,,,870.59,232.70,,,163.37,-6.60,-137.38,235.89,,61.46,15.26,,,,,141.51,26.20,12.54,52.29,10.42
HPL Electric,540136,HPL,Electric Equipment,588.15,3781.83,67.07,58.92,72.66,0.00,0.00,651.21,0.75,11.11,5.45,64.28,30.25,10.11,10.65,87.28,9.98,3.35,2.65,6.77,4.69,1.71,64.29,6.17,7.89,-7.73,9.55,1604.89,64.29,6.17,7.89,4.47,582.15,526.21,375.61,424.15,1030.46,827.34,749.02,635.60,57.23,60.84,174.59,245.52,225.17,65.77,18.63,4.75,5.77,3.75,2.98,80.61,20.17,3.49,21.58,17.03
Humming Bird Edu,542592,,Miscellaneous,94.50,57.93,61.87,103.45,74.88,0.00,0.00,0.00,0.00,5.80,2.11,0.63,0.29,4.71,-3.96,67.55,0.84,1.61,-0.77,-0.08,0.43,0.70,27.47,-34.43,,,-3.00,6.56,27.47,-34.43,,,0.00,0.00,,,2.89,1.94,2.65,,0.26,0.01,-0.20,-1.07,,-0.91,97.86,23.82,,,-3.48,75.00,43.86,-1.38,1.05,-0.42
Incap,517370,,Electronics - Components,103.90,53.30,82.13,66.62,66.91,0.00,0.00,9.47,0.57,6.17,4.12,0.80,0.66,-1.44,20.27,112.39,1.56,0.88,0.45,1.31,1.29,0.76,8.97,-7.41,-16.28,-8.06,-8.99,19.62,8.97,-7.41,-16.28,-8.06,1.83,0.88,0.15,1.45,13.85,10.88,2.94,7.35,-6.19,-1.54,-11.13,2.35,2.71,66.79,-2.53,-1.21,-5.41,-7.03,3.71,12.68,-6.53,4.10,0.45,0.23
Indbank Merchant,511473,INDBANK,Finance & Investments,46.81,207.74,17.16,20.27,64.84,0.00,0.00,0.00,0.00,13.41,10.54,11.21,3.50,0.56,-4.41,18.51,2.53,0.74,0.64,2.03,0.79,0.55,27.12,37.22,6.37,21.37,0.54,29.30,27.12,37.22,6.37,21.37,0.00,0.00,1.58,0.00,79.83,25.34,33.52,39.60,-1.30,-5.39,-6.81,16.01,25.44,0.00,18.42,18.97,12.98,13.23,7.17,64.53,38.93,8.35,3.30,2.85
Indergiri Fin.,531505,,Finance & Investments,30.95,15.66,23.67,,60.11,0.00,0.00,3.70,0.89,-7.67,-13.95,-0.54,0.01,-4.97,-0.64,-52.07,-1.07,-0.08,-0.22,-1.28,0.02,-0.28,,,,,,1.43,,,,,0.00,0.00,0.00,0.00,-3.27,0.30,0.21,4.96,-3.99,-0.31,-4.00,-3.26,-3.29,0.00,28.16,12.20,10.02,1.49,-3.01,-500.00,64.37,-5.37,-0.04,-0.11
India Nipp.Elec.,532240,INDNIPPON,Auto Ancillaries,717.25,1622.52,31.11,22.60,70.37,0.00,0.00,2.55,0.00,12.80,10.02,71.80,48.23,1.83,0.03,35.29,31.74,9.35,8.02,26.21,21.32,7.75,14.38,0.26,12.85,10.87,86.92,770.94,14.38,0.26,12.86,10.88,4.58,0.00,0.00,0.00,235.39,80.05,60.19,18.94,38.70,31.65,74.08,120.34,150.24,68.99,14.59,6.63,10.89,10.74,9.50,31.57,16.16,9.20,21.16,18.14
India Pesticides,543311,IPL,Pesticides / Agrochemicals - Indian,181.51,2090.33,31.81,29.04,63.61,0.00,0.00,25.38,0.03,10.74,7.62,71.98,144.45,0.76,-5.32,-51.76,6.25,2.30,1.74,5.31,12.54,1.72,-23.88,-67.12,-53.41,,4.26,726.35,-23.12,6.82,8.08,,30.41,61.06,42.95,,474.34,278.44,166.21,90.31,60.67,-26.87,31.29,116.99,110.64,55.34,1.60,14.84,17.32,,22.14,-28.69,-11.34,17.95,26.48,20.06
Indian Wood Prod,540954,,Miscellaneous,51.09,326.84,62.37,62.37,71.12,0.00,0.00,78.45,0.22,2.96,1.05,5.24,1.84,-1.56,-13.80,56.53,0.82,0.31,0.20,0.57,0.29,0.10,21.08,-26.19,-15.08,,-2.38,209.44,21.08,-26.19,-15.08,,70.04,56.62,45.99,,116.91,96.71,82.92,56.25,8.82,9.26,17.89,23.10,29.20,60.53,6.79,-0.89,0.93,,0.80,100.00,11.81,0.47,1.96,1.26
Indifra Ltd,,INDIFRA,Diversified - Medium / Small,26.80,19.54,22.09,75.15,67.56,0.00,0.00,0.00,0.00,-11.56,-11.98,0.26,1.00,0.56,-5.96,-49.48,0.36,0.37,-0.01,-1.63,1000.00,-2.30,,,,,,18.96,,,,,0.45,0.00,,,18.09,0.63,0.04,,-6.51,-1.88,-7.67,,,107.00,48.35,42.81,,,3.32,120.00,322.27,1.80,0.27,-0.01
